video_id,link,title,published_at_utc,published_date_wib,published_time_wib,channel_id,channel_title,channel_subscribers,view_count,like_count,comment_count,is_short
8hrT_a_7E2g,https://www.youtube.com/watch?v=8hrT_a_7E2g,"Dimana keadilan? Barracuda Brimob Lindas Ojol, Jakarta Membara! #news #short #shorts",2025-08-29T05:48:48Z,8/29/2025,12:48:48,UCwQg6hA5XdLaUKLaQ8fBxPQ,Global strike Id,15300,1590,13,0,TRUE
867X2_E-yJg,https://www.youtube.com/watch?v=867X2_E-yJg,"Ojol Tewas Dilindas Mobil Brimob, Ini Respons Komnas HAM",2025-08-29T05:46:46Z,8/29/2025,12:46:46,UCPAxpUn1mrn14xU0JpsLhDg,Kompas.com,5620000,2858,28,27,FALSE
#NAME?,https://www.youtube.com/watch?v=-LIlcVYhuW4,[FULL] Pernyataan Prabowo atas Tewasnya Driver Ojol Affan yang Dilindas Rantis Brimob,2025-08-29T05:46:25Z,8/29/2025,12:46:25,UCPAxpUn1mrn14xU0JpsLhDg,Kompas.com,5620000,8227,152,153,FALSE
Ghk3-eArlm8,https://www.youtube.com/watch?v=Ghk3-eArlm8,SUASANA MEMANAS DI MAKO BRIMOB KWITANG USAI INSIDEN DRIVER OJOL,2025-08-29T05:45:56Z,8/29/2025,12:45:56,UCWEvJoTAcQc1S7qxq5a885A,Radar Tuban TV,6240,9151,189,7,TRUE
lKtiD3SlCNM,https://www.youtube.com/watch?v=lKtiD3SlCNM,Rip Affan?? & Umar Lekas sembuh ?? #shorts#ojol#grab#viral#trending#news#fy#fyp?#fyp#terkini#newinfo,2025-08-29T05:43:37Z,8/29/2025,12:43:37,UCt4OeNZSYu4TtphLGtIiUxA,tikus berita,25100,20730,83,7,TRUE
zcJvsEnjHyI,https://www.youtube.com/watch?v=zcJvsEnjHyI,Lautan Ojol Mengawal Alm. Affan Kurniawan..Insha Allah syahid ??#ojol #demo #dprri #shortviral #short,2025-08-29T05:43:22Z,8/29/2025,12:43:22,UChFp_tCvgjcVoSWR2Robc0w,Opus Perfectum,19200,2434,82,5,TRUE
R-QW_ZC7sU0,https://www.youtube.com/watch?v=R-QW_ZC7sU0,"gojek berduka ,#demodpr,#demohariini #snapshortbekasi#beritaterkini #viralhariini",2025-08-29T05:42:23Z,8/29/2025,12:42:23,UCP9FtOfVd61PTtaDHjWiHPQ,SnapShorts Bekasi,5,1122,9,0,TRUE
dQIeR2EVs3g,https://www.youtube.com/watch?v=dQIeR2EVs3g,selamat jalan Affan Kurniawan?? #gojek #shortvideo #shortsfeed #shorts #demo #demodpr,2025-08-29T05:37:58Z,8/29/2025,12:37:58,UCxCBE7jv6WzFllpiRIQqjiQ,Ega Maulidia,221,1260,23,2,TRUE
A7URKQlugc8,https://www.youtube.com/watch?v=A7URKQlugc8,udah di lindas makin di tindas ?? #demo#brimob#gojek#viral#rip#dpr#anjing#polisi#anjing,2025-08-29T05:37:05Z,8/29/2025,12:37:05,UC94fd-hMEDt9igRxRpKKlSg,Bobotoh tasik ????,176,1199,5,0,TRUE
x1P6QP1kyFc,https://www.youtube.com/watch?v=x1P6QP1kyFc,Driver Ojol Tew4s Dilindas Mobil Rantis Brimob di Tengah Demo Pejompongan,2025-08-29T05:35:16Z,8/29/2025,12:35:16,UCg5NEzjKDyCN4NWYWBnvpog,Naratif Media,207,709,12,0,TRUE
k3UrqQAw0Qc,https://www.youtube.com/watch?v=k3UrqQAw0Qc,?HAMPIR RU5UH? PULUHAN OJOL PUKULI MOBIL AJUDAN KAPOLDA,2025-08-29T05:33:19Z,8/29/2025,12:33:19,UCAEDd9FvZb9_zCfxIKyaXiw,Monogram Production,22100,699,9,2,FALSE
8MvfgxS61Ds,https://www.youtube.com/watch?v=8MvfgxS61Ds,KONDISI DRIVER OJOL UMAR AMARUDIN TEMAN DARI AFFAN TERKAIT MOBIL BRIMOB #driverojol #polisi,2025-08-29T05:32:53Z,8/29/2025,12:32:53,UChIW7QQwEM27o7lyJB4UL9A,EON DENILANSA 2,210000,4606,24,0,TRUE
iys1_ZYG4pU,https://www.youtube.com/watch?v=iys1_ZYG4pU,Lautan Ojol Iringi Kepergian Affan,2025-08-29T05:32:02Z,8/29/2025,12:32:02,UCMCiy7H4BIG7EYyo7CZuRMg,Antara Megapolitan,8760,2711,144,8,TRUE
qQfqHRupqTQ,https://www.youtube.com/watch?v=qQfqHRupqTQ,Presiden Sampaikan Duka Mendalam Atas Kematian Pengemudi Ojol Affan Kurniawan,2025-08-29T05:30:45Z,8/29/2025,12:30:45,UCOhcvIMiRI4KVfJWPkBwlBg,Prabowo Subianto,238000,2623,296,334,FALSE
Pp4OS7hnDPE,https://www.youtube.com/watch?v=Pp4OS7hnDPE,"?? MOMEN MENGHARUKAN, RIBUAN DRIVER OJOL IRINGI AFFAN MENUJU PERISTIRAHATAN TERAKHIR Di KARET BIVAK",2025-08-29T05:28:50Z,8/29/2025,12:28:50,UCzbig2FFRVf-K63l5vBpBTA,SULTANTV,46700,2244,44,4,TRUE
OeYX_xc---g,https://www.youtube.com/watch?v=OeYX_xc---g,KELAM #demodpr #ojol #gojek #brimob #indonesia #trending #shorts #youtubeshorts #flyxo #subscribe,2025-08-29T05:28:18Z,8/29/2025,12:28:18,UCCh6P2PJcIOKXKoYvAlU_dw,BERITA VIRAL TERKINI,427,11,0,0,TRUE
#NAME?,https://www.youtube.com/watch?v=-YYcUqG23lw,Ke mana DEDDY CORBUZIER? diam saat artis ramai speak up soal ojol t3w4s dilind4s BRIMOB,2025-08-29T05:28:09Z,8/29/2025,12:28:09,UC9nyPw2U_jAK5QPAPBMjKnQ,John Acoustic26,23900,11420,32,4,TRUE
oG0Nj8B5V8A,https://www.youtube.com/watch?v=oG0Nj8B5V8A,"Momen Mengharukan, Ribuan Ojol Antar Jenazah Affan Kurniawan ke Peristirahatan Terakhir",2025-08-29T05:27:06Z,8/29/2025,12:27:06,UCYrOk-MfDYdsdtXzO6RLv9w,AHMAD ZAKI Channel,1630000,29769,,18,TRUE
aWqiUA8Lt3c,https://www.youtube.com/watch?v=aWqiUA8Lt3c,Para Driver Ojol Mengantar Alm Affan Kurniawan ke pemakaman#ojol #indonesiadarurat,2025-08-29T05:25:38Z,8/29/2025,12:25:38,UCq2FAfgygL3J1T0CmUXJRnQ,Natural Rain,454,2969,16,0,TRUE
vSFvF9uM19I,https://www.youtube.com/watch?v=vSFvF9uM19I,JAKARTA MENGHIJAU. Lautan Ojol Kawal Pemakaman Affan yang Tewas Dilindas Rantis Polisi,2025-08-29T05:25:26Z,8/29/2025,12:25:26,UCdygRiDGTM9kjc-7hrrB-7Q,Harian Surya,3430000,52990,,164,TRUE
eIwhb_-2ox0,https://www.youtube.com/watch?v=eIwhb_-2ox0,Barracuda Brimob Lindas Ojol 21 Tahun! Publik Murka!,2025-08-29T05:23:57Z,8/29/2025,12:23:57,UCb3Su8FEEQiaq_ux0nKzDZw,TragediBersuara,2860,2632,23,4,TRUE
